dispatch_date,dispatch_time,address_block,lat,lon,district_01,district_02,district_03,district_05,district_06,district_07,district_08,district_09,district_12,district_14,district_15,district_16,district_17,district_18,district_19,district_22,district_24,district_25,district_26,district_35,district_39,district_77,psa_1,psa_2,psa_3,psa_4,psa_5,psa_A,crime_Aggravated Assault Firearm,crime_Aggravated Assault No Firearm,crime_All Other Offenses,crime_Arson,crime_Burglary Non-Residential,crime_Burglary Residential,crime_DRIVING UNDER THE INFLUENCE,crime_Disorderly Conduct,crime_Embezzlement,crime_Forgery and Counterfeiting,crime_Fraud,crime_Gambling Violations,crime_Homicide - Criminal,crime_Homicide - Gross Negligence,crime_Homicide - Justifiable,crime_Liquor Law Violations,crime_Motor Vehicle Theft,crime_Narcotic / Drug Law Violations,crime_Offenses Against Family and Children,crime_Other Assaults,crime_Other Sex Offenses (Not Commercialized),crime_Prostitution and Commercialized Vice,crime_Public Drunkenness,crime_Rape,crime_Receiving Stolen Property,crime_Robbery Firearm,crime_Robbery No Firearm,crime_Theft from Vehicle,crime_Thefts,crime_Vagrancy/Loitering,crime_Vandalism/Criminal Mischief,crime_Weapon Violations,dispatch_date_dt,hour_sin,hour_cos,month_sin,month_cos,day_of_week_sin,day_of_week_cos,geometry,tract_id,avg_wind_speed_mph,precipitation_inches,snowfall_inches,snow_depth_inches,max_temp_f,min_temp_f,pop_total,income_median,median_age,poverty_rate,vacancy_rate,renter_occupancy_rate,area_sq_km,pop_density_sq_km
2025-07-18,2025-07-21 15:09:00,200 BLOCK S 47TH ST,39.95515969,-75.21577045,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-0.7071067811865471,-0.7071067811865479,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.21577045 39.95515969),42101008602,7.4,0.0,0.0,0.0,85.0,76.0,2805.0,32127.0,29.1,0.21711229946524063,0.178743961352657,0.8045751633986928,0.369142,7598.701854570869
2025-07-18,2025-07-21 10:30:00,800 BLOCK N MARKOE ST,39.96836552,-75.21489291,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.21489291 39.96836552),42101010500,7.4,0.0,0.0,0.0,85.0,76.0,4108.0,38581.0,47.1,0.2782375851996105,0.12767154105736783,0.7150225660863959,0.657766,6245.382096368618
2025-07-18,2025-07-21 07:51:00,8200 BLOCK PINE RD,40.080236,-75.082062,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.082062 40.080236),42101034100,7.4,0.0,0.0,0.0,85.0,76.0,5708.0,72275.0,39.4,0.0720042046250876,0.02454642475987193,0.45149525893508385,1.333267,4281.21299034627
2025-07-18,2025-07-21 09:37:00,10100 BLOCK BUSTLETON AVE,40.10641567,-75.02469077,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.7071067811865476,-0.7071067811865475,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.02469077 40.10641567),42101035900,7.4,0.0,0.0,0.0,85.0,76.0,4763.0,48571.0,53.3,0.17467982364056267,0.05679862306368331,0.3398722627737226,2.244717,2121.8710420957295
2025-07-18,2025-07-21 10:08:00,9900 BLOCK BRIDLE RD,40.10561066,-75.03736908,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.03736908 40.10561066),42101035602,7.4,0.0,0.0,0.0,85.0,76.0,3545.0,106480.0,44.3,0.02933709449929478,0.0,0.11910471622701839,1.394868,2541.459120146136
2025-07-18,2025-07-21 08:12:00,8500 BLOCK LINDBERGH BLV,39.89495416,-75.25317494,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.25317494 39.89495416),42101005400,7.4,0.0,0.0,0.0,85.0,76.0,1688.0,56197.0,41.6,0.2636255924170616,0.04145077720207254,0.6054054054054054,1.846253,914.2842286512196
2025-07-18,2025-07-21 09:11:00,7700 BLOCK Lindbergh Blvd,39.90482125,-75.24302833,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,0.7071067811865476,-0.7071067811865475,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.24302833 39.90482125),42101005500,7.4,0.0,0.0,0.0,85.0,76.0,6183.0,67063.0,36.6,0.20556364224486495,0.013092710544939844,0.34958766583004663,1.168442,5291.661888223805
2025-07-18,2025-07-21 19:07:00,1200 BLOCK S Ruby St,39.94115939,-75.22396183,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-0.9659258262890684,0.2588190451025203,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.22396183 39.94115939),42101007102,7.4,0.0,0.0,0.0,85.0,76.0,4463.0,40602.0,34.8,0.1729778176114721,0.17371110078959592,0.3991006183249016,0.415761,10734.532580015923
2025-07-18,2025-07-21 19:32:00,5900 BLOCK Woodland Ave,39.93095188,-75.22763111,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-0.9659258262890684,0.2588190451025203,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.22763111 39.93095188),42101006600,7.4,0.0,0.0,0.0,85.0,76.0,3363.0,27206.0,33.0,0.4049955396966994,0.1637831603229527,0.6813793103448276,0.651244,5163.963122884817
2025-07-18,2025-07-21 21:06:00,5400 BLOCK KINGSESSING AVE,39.93821094,-75.22182398,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2025-07-18,-0.7071067811865477,0.7071067811865474,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,POINT (-75.22182398 39.93821094),42101007000,7.4,0.0,0.0,0.0,85.0,76.0,3640.0,41206.0,35.2,0.16648351648351647,0.14104778353483016,0.5495978552278821,0.469047,7760.4163335444
